ZIPCODE,COVID_CASE,COVID_DEAT,INF_RATE,DEATH_RATE,DIS_PER,OVER65_PER,NOINSUR,RENT35PER,GROUPQ_PER,AVG_HH,ESS_WRK,BINGE,BPHIGH,CSMOKING,HIGHCHOL,Y,X
11239,4801.28,716.97,4.500151012,14.93288591,23.5,28.9,3.6,37.9,0.49,1.95,22.06,11.6,40.7,17.1,35.9,-73.8722135,40.64810422
11224,3353.76,492.27,3.194381998,14.67828418,21.2,24.4,6.3,40.6,2.7,2.43,26.46,14,34.8,15.5,37.8,-73.9879658,40.57658302
10451,3872.69,322.72,3.866270555,8.333333333,18.4,12.6,9.8,48.3,0.42,2.49,27.07,14.7,36.9,18.9,33.6,-73.9237335,40.82077342
10475,4428.12,409.21,4.482966117,9.241094476,18.2,22.6,5.4,35.7,3.44,2.22,26.48,13.5,42.4,14.1,35.7,-73.8268202,40.87470803
11694,4028.34,442.13,3.840029971,10.97560976,17.2,17.3,3.9,41.2,6.65,2.35,14.34,16.7,29.3,13.1,35.9,-73.8517689,40.57518268
10456,3211.62,318.91,3.185166316,9.930023326,17.1,8.4,10.3,47.8,2.65,2.98,43.25,15,36.6,22.2,32.3,-73.9078038,40.83017785
10454,3448.15,279.93,3.449990838,8.118361153,16.7,8.4,14.2,49.1,2.55,2.83,20.38,15,35.1,23,33.1,-73.9162745,40.80584375
10035,3413.05,397.95,3.287356965,11.65957447,16.6,11.9,11.2,40.4,8.42,2.27,15.07,18.1,33.2,21.2,31.4,-73.9292467,40.7952518
11692,3653.04,472.16,3.501500643,12.92517007,16.4,9.9,6.6,40.8,4.2,2.95,21.69,14,33.6,18.4,31.2,-73.7955755,40.5932479
10460,3314.29,218.07,3.345937316,6.579608237,16.4,11.1,9.3,53.3,1.98,2.85,32.71,15.3,34.6,21.1,32.2,-73.8795726,40.84191309
10465,3932.1,211.48,3.82762131,5.378250591,16.4,16.5,6.1,35.8,4.29,2.65,22.92,18.7,30.7,14.6,33.2,-73.822538,40.82757353
10464,3262,206.75,3.202525936,6.338028169,16.1,22.5,5.3,38,0.41,2.33,8.53,18.1,32.5,11.9,37.3,-73.8005309,40.86824511
10473,3675.4,227.69,3.81821537,6.195079086,15.8,14.5,6.4,40.6,0.51,2.83,32.38,15.4,36.2,16.6,33.2,-73.8585464,40.8180139
10467,3980.79,336.36,3.867658967,8.449651047,15.6,10.1,9.9,54.3,1.6,2.78,43.88,15.9,34.3,18.9,31.7,-73.8705098,40.8782864
11691,4765.36,582.16,4.599517095,12.21646144,15.5,10.3,8,42.7,4.09,3.12,30.84,14.5,34,17.3,33.1,-73.7619284,40.60075021
10455,3651.51,265.56,3.642125677,7.272727273,15.4,9.2,12.2,50.4,2.91,2.85,26.48,15.5,34.1,21,32.5,-73.9075187,40.81456304
10029,2726.99,268.89,2.701106826,9.860465116,15.4,12.9,7.5,38.9,4.34,2.4,23.79,18.7,29.1,16.9,30.4,-73.9441495,40.79156791
10457,3498.69,253.06,3.504842128,7.233065442,15.2,8.8,11,56.8,4.27,2.9,36.71,15.3,34.5,21.6,32.2,-73.8983499,40.84576139
10453,3574.59,206.94,3.64545386,5.789110958,15.2,8.4,9.5,57.9,2.01,2.86,38.16,15.4,34.4,21.9,32,-73.9134443,40.85257943
11235,3267.53,383.45,3.326592259,11.7352828,15.2,22.7,9.2,49.8,1.68,2.38,40.88,16.4,29.3,13.1,35.2,-73.9458826,40.58410596
10002,1844.82,209.76,1.88817623,11.3700565,15.2,20.8,5.9,40.1,2.38,2.18,21.29,15.6,29.5,17.6,33.9,-73.9856775,40.71615199
11414,3346.83,222.89,3.237619357,6.65961945,15.1,22,3.7,48.8,0.12,2.73,15.83,16.1,30.3,14.3,36.9,-73.8450009,40.65826247
10030,2083.77,197.8,2.044709189,9.492635025,15.1,11.1,8.3,41.1,2.07,2.3,18.25,18.7,32.8,18.2,28.3,-73.9427875,40.81839667
10466,3748.27,241.11,3.732115509,6.432532348,15,12.2,9.5,51.1,1.02,3.03,40.13,15,38.2,17.7,31.2,-73.8466575,40.89094253
10472,3447.01,284.18,3.402814117,8.244340026,14.6,10.9,13.9,57.2,1.13,3.11,33.13,15.3,34.4,20.9,32.9,-73.869976,40.82966988
11212,2781.76,296.52,2.893096554,10.65943993,14.6,13,9.5,55.5,8.54,2.23,40,13.5,37.4,20.7,30.9,-73.9130774,40.66281336
11693,2948,234.22,2.825296076,7.945205479,14.4,12.3,4.8,41.8,2.21,2.61,19.87,16.6,29.3,15.8,33.3,-73.8234234,40.6124779
10032,3037.77,284.59,2.906759617,9.368308351,14.3,12.9,13.4,42.4,1.74,2.98,30.41,20.1,27.5,15.2,30.8,-73.9417781,40.83895526
10452,3856.69,231.06,3.905202555,5.991248738,14.3,8,11.9,56.2,1.03,2.88,38.2,15.7,33.8,21,32,-73.9234329,40.83771021
10463,3375.07,308.61,3.371636771,9.143807149,14.2,17.7,5.5,44.9,3.48,2.4,27.13,17,31.1,13.2,33.3,-73.9079182,40.88137693
11207,2837.7,245.63,2.750837211,8.656126482,14.1,11,7.7,54.9,2.57,2.7,43.78,15.1,32.9,18,29.8,-73.8944455,40.67091862
10470,3665.69,148.9,3.350181441,4.061895551,14.1,16.9,8.3,45.4,0.69,2.52,15.25,18.1,32.6,16.5,31.1,-73.8643895,40.90110086
11697,3506.1,141.38,3.502824859,4.032258065,13.9,25.4,0.6,28.6,0.14,2.59,14.55,16.5,30,9.9,37.7,-73.9136775,40.55742804
10033,2783.29,207.73,2.764775949,7.463592233,13.6,14,8.2,42.1,1.47,2.99,23.6,21.8,24.8,13.7,30.1,-73.9362512,40.85109464
10462,3461.68,241.81,3.487675231,6.985431453,13.6,11.8,7.6,46.2,0.45,2.59,36.29,16.7,31.8,16,31.2,-73.8612456,40.84446735
10469,4686.17,518.82,4.536347638,11.07132199,13.3,14.2,7.6,51.2,3.45,3.18,39.86,15.4,37.3,15.8,32,-73.8465995,40.86823456
10471,4221.72,418.88,4.096638655,9.921962096,13.3,20.6,4.4,39.5,14.33,2.18,12.01,16.9,31.7,10.4,34.5,-73.8975893,40.89833773
10461,4219.92,284.97,4.147135934,6.752873563,13.2,14.6,7.6,45.8,2.15,2.6,25.63,17.7,30.3,15.3,32.9,-73.8408109,40.84700067
10458,3065.35,153.92,3.059790376,5.021409109,13,7.8,11.8,53.2,3.93,2.96,38.96,17.2,30.1,20.1,30,-73.8860432,40.86295396
10459,3689.41,345.37,3.689685839,9.360986547,13,9.8,10.4,52.7,1.59,2.9,27,15.5,34.2,20.3,32.3,-73.8931619,40.8256677
10039,2449.21,249.46,2.33715646,10.18518519,12.7,9.4,8.9,38.3,1.18,2.44,15.78,17.9,33.9,18.2,29.6,-73.9376746,40.82666593
